,link,Адрес,Застройщик,Агентство,Частное лицо,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Балкон или лоджия,Санузел,Высота потолков,Количество комнат,Этаж,Этажей в доме,Отделка,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Окна,Название новостройки,Официальный застройщик,Тип участия,Срок сдачи,Тип дома,"Корпус, строение",Способ продажи,Вид сделки,Тип комнат
2277,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_537m_1619et._2597798299,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,4024500,74944,53.7,,,,,,2,16,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 1,,,
2278,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_103m_1016et._2643278044,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,8300000,80583,103.0,49.9,15.0,"балкон, лоджия",раздельный,2.7,3,10,16,чистовая,1,1,,,,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,изолированные
2279,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_103m_1416et._2483278243,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,8300000,80583,103.0,50.0,15.0,"балкон, лоджия",раздельный,2.7,3,14,16,чистовая,1,1,"детская площадка, спортивная площадка",,,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,изолированные
2280,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_466m_1123et._2799355066,"ул. Независимости, д. 78",,Группа Строительных Компаний,,3871120,83071,46.6,24.4,6.2,,,2.8,2,11,23,предчистовая,,,,,,ЖК «Галактика 2|3»,ООО СЗ «Град-Развитие»,ДДУ по ФЗ 214,4 кв. 2025 года,монолитный,Дом 78,,,"изолированные, смежные"
2281,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_466m_923et._2831249097,"ул. Независимости, д. 78",,Группа Строительных Компаний,,3871120,83071,46.6,24.4,6.2,лоджия,совмещенный,2.8,2,9,23,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка",наземная многоуровневая,,ЖК «Галактика 2|3»,ООО СЗ «Град-Развитие»,ДДУ по ФЗ 214,4 кв. 2025 года,монолитный,Дом 78,,,"изолированные, смежные"
2282,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_497m_910et._2722817469,"ул. Лётчика Колесниченко, д. 67",,Группа Строительных Компаний,,5119100,103000,49.7,21.2,10.5,лоджия,,3.0,2,9,10,предчистовая,1,1,"детская площадка, спортивная площадка",подземная,,ЖК «Гагаринский 2»,ООО «СЗ РАЗВИТИЕ ЦЕНТР»,ДДУ по ФЗ 214,2 кв. 2024 года,кирпичный,,,,"изолированные, смежные"
2283,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_497m_410et._2787270931,"ул. Лётчика Колесниченко, д. 67",,Группа Строительных Компаний,,5019700,101000,49.7,21.2,10.5,лоджия,раздельный,3.0,2,4,10,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,,ЖК «Гагаринский 2»,ООО «СЗ РАЗВИТИЕ ЦЕНТР»,ДДУ по ФЗ 214,2 кв. 2024 года,кирпичный,,,,изолированные
2284,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_233m_719et._2597593317,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1862469,79934,23.3,,,,,,1,7,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
2285,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_235m_219et._2597325745,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1874454,79764,23.5,,,,,,1,2,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
2286,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_233m_1419et._2724890174,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1862469,79934,23.3,,,,,,1,14,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
2287,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_235m_419et._2597762550,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1874454,79764,23.5,,,,,,1,4,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
2288,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_233m_619et._2596916092,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1862469,79934,23.3,,,,,,1,6,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
2289,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_233m_219et._2597279161,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,1862469,79934,23.3,,,,,,1,2,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 2,,,
